,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
12862,메가커피,성수역점,음식,커피점/카페,서울특별시,성동구,성수2가3동,37.5444950328183,127.056069273562
12863,실크키친,,음식,커피점/카페,서울특별시,성동구,성수2가3동,37.547534935536,127.055363251361
12864,카페,몬스터만화,음식,커피점/카페,서울특별시,성동구,용답동,37.5649726675631,127.054543170401
12865,우주곰커피,,음식,커피점/카페,서울특별시,광진구,화양동,37.542526543644,127.071449942756
12866,차안유색,,음식,커피점/카페,서울특별시,광진구,화양동,37.5450751182445,127.075865686116
12867,펫리미엄,,음식,커피점/카페,서울특별시,은평구,갈현1동,37.6208561957097,126.91631611754
12868,어이어,,음식,커피점/카페,서울특별시,중구,중림동,37.5553692783516,126.967618354718
12869,신촌로스팅라이브러리,,음식,커피점/카페,서울특별시,서대문구,신촌동,37.5567243459065,126.936542858638
12870,오디,너리핏,음식,커피점/카페,서울특별시,서대문구,연희동,37.5670984423939,126.926932175997
12871,바로서점,,음식,커피점/카페,서울특별시,서대문구,홍제3동,37.5933857732007,126.947401589132
12872,룩업커피,,음식,커피점/카페,서울특별시,마포구,아현동,37.5452186111812,126.948679005411
12873,고마워,,음식,커피점/카페,서울특별시,마포구,공덕동,37.5482166947626,126.956536016701
12874,킹비즈센터,,음식,커피점/카페,서울특별시,마포구,대흥동,37.5548438131158,126.937837174609
12875,피스오브서울,,음식,커피점/카페,서울특별시,마포구,서강동,37.5483328166053,126.924292846705
12876,미키하우스,,음식,커피점/카페,서울특별시,마포구,서교동,37.5530444661476,126.923217869098
12877,티르티르홍대카페앤쇼룸,,음식,커피점/카페,서울특별시,마포구,서교동,37.5512231108265,126.919135925031
12878,엑스오엑스오룸카페,건대점,음식,커피점/카페,서울특별시,광진구,화양동,37.5432957430476,127.071870416413
12879,카페빌콤,,음식,커피점/카페,서울특별시,광진구,중곡1동,37.5609381957842,127.077605305708
12880,블라썸한강파티룸,,음식,커피점/카페,서울특별시,광진구,광장동,37.5515889428079,127.110971130975
12881,그랜드워커힐서울라이브러리,,음식,커피점/카페,서울특별시,광진구,광장동,37.5586225695691,127.111691182345
12882,DAYOFF,,음식,커피점/카페,서울특별시,광진구,자양4동,37.5359751840948,127.063373037454
12883,아미스커피,,음식,커피점/카페,서울특별시,광진구,구의3동,37.5377417469435,127.089941933182
12884,B.LUSION,,음식,커피점/카페,서울특별시,동대문구,용신동,37.5774104827295,127.032716978331
12885,더티로우커피,,음식,커피점/카페,서울특별시,동대문구,용신동,37.5717673046631,127.024729828539
12886,우더스커피바,,음식,커피점/카페,서울특별시,동대문구,용신동,37.5737515572579,127.041469947781
12887,퍼플스터디카페,동대문전농센터,음식,커피점/카페,서울특별시,동대문구,전농2동,37.5758838094296,127.057858158502
12888,르하임스터디카페,경희대점,음식,커피점/카페,서울특별시,동대문구,회기동,37.5925529839164,127.052212729079
12889,딜리바리,공릉점,음식,커피점/카페,서울특별시,노원구,공릉1동,37.6215682348647,127.072846595204
12890,STANCOFFEE,,음식,커피점/카페,서울특별시,마포구,서교동,37.5548428350787,126.93273287166
12891,림벅와플,합정점,음식,커피점/카페,서울특별시,마포구,합정동,37.5479361834977,126.917372715954
12892,디어쿠키,,음식,커피점/카페,서울특별시,마포구,합정동,37.5457249931093,126.914032415492
12893,청시절커피랩,,음식,커피점/카페,서울특별시,마포구,망원1동,37.5570835699284,126.907789774002
12894,토끼의기억,,음식,커피점/카페,서울특별시,마포구,망원2동,37.5598367044176,126.906380046054
