,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
0,야쿤커피앤토스트판교점,판교점,음식,커피점/카페,경기도,성남시 분당구,삼평동,37.4012648990245,127.108638786251
1,대통령카페,,음식,커피점/카페,경기도,가평군,상면,37.7865401247777,127.300351752187
2,브람스,,음식,커피점/카페,경기도,시흥시,정왕1동,37.3387999442091,126.736411368446
3,착한커피,,음식,커피점/카페,경기도,동두천시,상패동,37.9027168671036,127.039606770851
4,카페인,,음식,커피점/카페,경기도,여주시,가남읍,37.2377170732834,127.568307772403
5,수국다방,,음식,커피점/카페,경기도,포천시,소흘읍,37.8276753538787,127.147699981897
6,화이트엔젤일산드라마파크점,일산드라마파크점,음식,커피점/카페,경기도,고양시 일산동구,장항2동,37.6548924383575,126.771520335847
7,엘도라도커피전문점,,음식,커피점/카페,경기도,안산시 상록구,이동,37.3097272045021,126.849931409533
8,디초콜릿커피분당서현점,분당서현점,음식,커피점/카페,경기도,성남시 분당구,서현1동,37.384346383614,127.130926746662
9,투피플커피,,음식,커피점/카페,경기도,수원시 장안구,정자3동,37.2979307164199,126.992092857058
10,카페토키,,음식,커피점/카페,경기도,수원시 팔달구,우만2동,37.2812799973866,127.03772639205
11,메카,,음식,커피점/카페,경기도,여주시,여흥동,37.2951627623229,127.640978667597
12,행복다방,,음식,커피점/카페,경기도,안산시 단원구,원곡동,37.332024178713,126.794276752602
13,투썸플레이스,수원드라마센타점,음식,커피점/카페,경기도,수원시 팔달구,인계동,37.2700798371081,127.034452596045
14,북카페반디,,음식,커피점/카페,경기도,파주시,탄현면,37.7877421689496,126.697425598451
15,지하커피맥주,,음식,커피점/카페,경기도,포천시,포천동,37.8961498796232,127.202692500098
16,배스킨라빈스,이마트점,음식,커피점/카페,경기도,오산시,대원동,37.1406538966401,127.072692861526
17,삐노누아,,음식,커피점/카페,경기도,안산시 상록구,해양동,37.2989338599091,126.839008312169
18,파스쿠찌,평택점,음식,커피점/카페,경기도,평택시,신평동,36.9921434410261,127.085935150327
19,수정휴게음식점,,음식,커피점/카페,경기도,연천군,신서면,38.1850847019226,127.107287636362
20,카페인이필요해,,음식,커피점/카페,경기도,용인시 처인구,유림동,37.2578452576121,127.237235976884
21,커피베이,안양평촌점,음식,커피점/카페,경기도,안양시 동안구,귀인동,37.3845009919652,126.964387363024
22,커피에반하다,파주시청점,음식,커피점/카페,경기도,파주시,금촌1동,37.7595262614013,126.778473641623
23,카페로와,,음식,커피점/카페,경기도,파주시,조리읍,37.7438227536823,126.805815547783
24,다음커피,,음식,커피점/카페,경기도,수원시 장안구,연무동,37.2947697006575,127.027854843512
25,카페제이,,음식,커피점/카페,경기도,포천시,내촌면,37.7954375030363,127.237158689989
26,커피타임,,음식,커피점/카페,경기도,안성시,양성면,37.0827476916164,127.210852772477
27,아름몰,안양시청점,음식,커피점/카페,경기도,안양시 동안구,부림동,37.3937393212136,126.955440031759
28,앤다방,,음식,커피점/카페,경기도,광주시,탄벌동,37.4277455775902,127.241357145022
29,서혜커피,,음식,커피점/카페,경기도,성남시 분당구,정자1동,37.3639786905809,127.10630288278
30,앤쏠로지,,음식,커피점/카페,경기도,성남시 분당구,삼평동,37.4002514151639,127.106877533338
31,양지커피숍,,음식,커피점/카페,경기도,화성시,서신면,37.1686361141278,126.704953415746
32,장터찻집,,음식,커피점/카페,경기도,용인시 기흥구,보라동,37.25912323322,127.122525728377
33,커피홀릭,,음식,커피점/카페,경기도,남양주시,진접읍,37.7456276206673,127.215032940347
34,커피예찬,,음식,커피점/카페,경기도,안양시 동안구,범계동,37.3899648665528,126.953516138912
35,카페플로레스타,,음식,커피점/카페,경기도,용인시 기흥구,동백1동,37.2877063356935,127.162376766068
36,커피캣츠웰,,음식,커피점/카페,경기도,남양주시,진접읍,37.730988647974,127.208709635275
37,소유마인,,음식,커피점/카페,경기도,용인시 처인구,모현읍,37.3562049780852,127.229660817739
38,카페떡사랑,,음식,커피점/카페,경기도,남양주시,진접읍,37.7404934512766,127.197886300292
39,커피엔줄리엣,안산법원점,음식,커피점/카페,경기도,안산시 단원구,호수동,37.3096767696389,126.827347995546
40,2FCOFFEE이층과성,,음식,커피점/카페,경기도,이천시,신둔면,37.3076538055978,127.402720518038
41,커피향기,,음식,커피점/카페,경기도,고양시 일산서구,주엽2동,37.6747682786432,126.76199935527
42,까페안녕,페안녕,음식,커피점/카페,경기도,수원시 영통구,원천동,37.2775947534439,127.044426275028
43,토마토수산시장,,음식,커피점/카페,경기도,용인시 기흥구,마북동,37.2936808375466,127.111736844938
44,호심갤러리,,음식,커피점/카페,경기도,용인시 처인구,양지면,37.2263143595066,127.295227129271
45,커피사피엔스부천테크노밸리U1점,,음식,커피점/카페,경기도,부천시,부천동,37.5007929634893,126.7900977816
46,코코즈,,음식,커피점/카페,경기도,고양시 일산동구,정발산동,37.6747189821612,126.77800632151
47,와플반트,양주브이플러스점,음식,커피점/카페,경기도,양주시,회천2동,37.8313880795379,127.052267002824
48,114공차정보,,음식,커피점/카페,경기도,군포시,군포1동,37.3487424328538,126.953682254445
49,이디야커피,수원북문점,음식,커피점/카페,경기도,수원시 장안구,영화동,37.2902713637601,127.013465489722
50,카페947,,음식,커피점/카페,경기도,남양주시,별내동,37.6590287186253,127.126544785574
51,드웰,,음식,커피점/카페,경기도,고양시 덕양구,흥도동,37.6537886002989,126.877759655466
52,목아카페,,음식,커피점/카페,경기도,여주시,강천면,37.2885831250764,127.688152929445
53,카페게이트,화정점,음식,커피점/카페,경기도,고양시 덕양구,화정2동,37.6336102001311,126.832721991985
54,학산,서종지점,음식,커피점/카페,경기도,양평군,서종면,37.6248283268783,127.355341592092
55,파스쿠찌,분당양지점,음식,커피점/카페,경기도,성남시 분당구,수내2동,37.373477045995,127.119648625728
56,북앤빅뱅,,음식,커피점/카페,경기도,군포시,광정동,37.3601777692235,126.931590007533
57,카페홍,,음식,커피점/카페,경기도,용인시 처인구,중앙동,37.2364101111451,127.204689454096
58,더본코리아_빽다방동탄,은행사거리점,음식,커피점/카페,경기도,화성시,동탄1동,37.2087463796896,127.061867369068
59,오라,,음식,커피점/카페,경기도,김포시,마산동,37.6444341700466,126.651322051967
60,닐맘,,음식,커피점/카페,경기도,남양주시,퇴계원읍,37.647531871867,127.142566906396
61,카페다비드,,음식,커피점/카페,경기도,안산시 단원구,호수동,37.3141168165447,126.831678796958
62,카페이인,,음식,커피점/카페,경기도,의정부시,호원2동,37.7271259783604,127.040426802634
63,아뜨리에,,음식,커피점/카페,경기도,양평군,양서면,37.5423854967731,127.32388013163
64,쿠커피,,음식,커피점/카페,경기도,안양시 만안구,석수1동,37.4197453617735,126.924440335012
65,커피&커피,,음식,커피점/카페,경기도,광주시,남종면,37.4947049906909,127.30287965771
66,이디야커피,수지구청점,음식,커피점/카페,경기도,용인시 수지구,풍덕천1동,37.3237306188319,127.097245466835
67,영다방,,음식,커피점/카페,경기도,수원시 팔달구,행궁동,37.2836011404159,127.016450780243
68,카페밈스,,음식,커피점/카페,경기도,성남시 중원구,상대원1동,37.4312711512795,127.170610133584
69,이디야커피,동탄센트럴파크점,음식,커피점/카페,경기도,화성시,동탄1동,37.2076782460938,127.064674515607
70,연인다방,,음식,커피점/카페,경기도,용인시 기흥구,신갈동,37.2731331088861,127.11016293944
71,현다방,,음식,커피점/카페,경기도,안양시 동안구,관양1동,37.4048244059342,126.964887069742
72,그로반,,음식,커피점/카페,경기도,성남시 분당구,삼평동,37.40206570525,127.106099242447
73,요거프레소,지행역점,음식,커피점/카페,경기도,동두천시,송내동,37.8930637363224,127.054762637209
74,이디야커피,능곡점,음식,커피점/카페,경기도,고양시 덕양구,행주동,37.6260815313454,126.824037525113
75,설빙,안양1호점,음식,커피점/카페,경기도,안양시 만안구,안양1동,37.3990877363732,126.92187818498
76,스타벅스,서현역점,음식,커피점/카페,경기도,성남시 분당구,서현1동,37.3858542974758,127.124020925831
77,럭키빈,,음식,커피점/카페,경기도,성남시 분당구,금곡동,37.366454243632,127.101227088978
78,ZAROO,,음식,커피점/카페,경기도,용인시 기흥구,보정동,37.317768249402,127.10592515218
79,카페리에또,,음식,커피점/카페,경기도,안산시 상록구,본오2동,37.2936124422968,126.867308719542
80,포엔포카페,,음식,커피점/카페,경기도,이천시,창전동,37.2819162532939,127.441074500444
81,덕이다방,,음식,커피점/카페,경기도,시흥시,신천동,37.4422432730594,126.783944421544
82,까페지니,페지니,음식,커피점/카페,경기도,양평군,청운면,37.5414477646401,127.769937623962
83,꼬꼬시티젤라떼,,음식,커피점/카페,경기도,화성시,봉담읍,37.2147226332361,126.978238555592
84,귀빈다방,,음식,커피점/카페,경기도,연천군,전곡읍,38.02502263102,127.070610180581
85,엄지다방,,음식,커피점/카페,경기도,수원시 권선구,평동,37.2451940387966,126.963321110936
